price,bed,bath,sqft,acre_sqft_lot,address
"$229,900",2bed,1bath,"1,194sqft",0.26acre lot,"215 E 20th St, Merced, CA 95340"
"$359,900",2bed,1bath,672sqft,5acre lot,"37701 Regal Blue Trl, Anza, CA 92539"
"$249,000",2bed,2bath,"1,040sqft",26.2acre lot,"1010 E Bobier Dr Spc 58, Vista, CA 92084"
"$325,000",2bed,1bath,788sqft,"8,947sqft lot","166 Mountain View Ave E, Porterville, CA 93257"
"$250,000",4bed,2bath,"1,442sqft","7,144sqft lot","431 E State St, El Centro, CA 92243"
"$847,000",4bed,3.5bath,"2,629sqft","5,766sqft lot","8841 Celebration St, Chino, CA 91708"
"$599,999",3bed,2bath,"1,888sqft",9.94acre lot,"3052 Bandell St, Acton, CA 93510"
"$299,900",3bed,2bath,"1,104sqft","8,050sqft lot","2219 W Holland Ave, Fresno, CA 93705"
"$645,000",3bed,2bath,"2,613sqft",0.34acre lot,"3551 Pleasant Hill Dr, San Bernardino, CA 92346"
"$220,000",1bed,1bath,543sqft,"4,529sqft lot","3908 Park View Trl, Frazier Park, CA 93225"
"$399,900",2bed,2bath,"1,044sqft","4,790sqft lot","901 Ash Ln, Big Bear City, CA 92314"
"$1,099,950",3bed,2bath,"1,485sqft",0.34acre lot,"16458 Pasada Dr, Whittier, CA 90603"
"$458,800",3bed,1bath,"1,104sqft","6,435sqft lot","1395 Windsor Dr, San Bernardino, CA 92404"
"$849,000",6bed,4bath,"2,713sqft",1.1acre lot,"44225 36th St W, Lancaster, CA 93536"
"$475,000",2bed,1bath,"1,298sqft",0.37acre lot,"20760 Wells St, Perris, CA 92570"
"$555,000",2bed,2bath,"2,142sqft","7,841sqft lot","78139 Kistler Way, Palm Desert, CA 92211"
"$2,200,000",5bed,4.5bath,"5,017sqft",0.34acre lot,"16173 Eastridge Ct, Chino Hills, CA 91709"
"$599,995",4bed,3bath,"1,992sqft","9,583sqft lot","32340 Corte Zamora, Temecula, CA 92592"
"$1,283,000",5bed,4bath,"2,116sqft","5,469sqft lot","733 Belmont Ave, Long Beach, CA 90804"
"$785,000",16bed,16bath,"1,948sqft","6,310sqft lot","11171 Bullis Rd, Lynwood, CA 90262"
"$1,299,000",4bed,3bath,"2,698sqft","6,182sqft lot","26458 Beecher Ln, Stevenson Ranch, CA 91381"
"$874,500",3bed,2bath,"1,496sqft","1,496sqft lot","31 N San Marcos Rd Unit A, Santa Barbara, CA 93111"
"$1,649,000",3bed,2bath,"2,100sqft","8,160sqft lot","527 South Rd, Belmont, CA 94002"
"$1,150,000",3bed,2bath,"1,580sqft",0.39acre lot,"4950 E Cherry Hills Dr, Palm Springs, CA 92264"
"$830,000",3bed,2bath,"1,476sqft","8,104sqft lot","19116 Napa St, Northridge, CA 91324"
"$999,990",5bed,4.5bath,"3,312sqft","7,200sqft lot","1737 Wadsworth Cir, Roseville, CA 95747"
"$525,000",4bed,2bath,"1,948sqft",1.25acre lot,"59325 Canterbury St, Yucca Valley, CA 92284"
"$479,999",7bed,4bath,"3,089sqft",0.23acre lot,"233 E Euclid Ave, Shafter, CA 93263"
"$265,000",2bed,2bath,"1,440sqft","4,420sqft lot","2550 E Valley Pkwy Spc 98, Escondido, CA 92027"
"$424,900",4bed,2bath,"1,890sqft","8,276sqft lot","12976 Tamara Dr, Moreno Valley, CA 92553"
"$495,000",4bed,2.5bath,"2,779sqft",0.23acre lot,"12514 High Country Dr, Bakersfield, CA 93312"
"$299,000",2bed,2bath,"1,756sqft",0.23acre lot,"343 Quail Smt, Paso Robles, CA 93446"
"$358,000",3bed,2.5bath,"1,612sqft","3,484sqft lot","3809 Frost Way, Bakersfield, CA 93311"
"$769,900",5bed,3bath,"3,035sqft",2.13acre lot,"34590 Avenue G, Yucaipa, CA 92399"
"$395,000",3bed,2bath,"1,256sqft","4,356sqft lot","860 Augusta St, Hemet, CA 92545"
"$437,000",5bed,3bath,"1,950sqft","7,488sqft lot","844 Sandra Ave, Sanger, CA 93657"
"$69,800",2bed,1bath,484sqft,"3,485sqft lot","338 N 1st St, Blythe, CA 92225"
"$699,999",3bed,2bath,"1,473sqft",0.55acre lot,"3470 Valley View Ave, Norco, CA 92860"
"$559,000",3bed,2bath,"1,776sqft","3,575sqft lot","2400 W Valley Pkwy Spc 12, Escondido, CA 92029"
"$749,000",2bed,2bath,"1,108sqft","8,504sqft lot","1427 W 103rd St, Los Angeles, CA 90047"
"$535,000",3bed,2bath,"1,573sqft","8,712sqft lot","225 Altair Ave, Lompoc, CA 93436"
"$572,000",4bed,2.5bath,"2,276sqft","6,098sqft lot","35272 Thorpe Trl, Beaumont, CA 92223"
"$1,075,000",3bed,2bath,"1,843sqft",0.23acre lot,"1235 Bay Oaks Dr, Los Osos, CA 93402"
"$608,990",5bed,3bath,"2,537sqft","8,101sqft lot","26628 Baneberry Ct, Menifee, CA 92585"
"$1,485,000",3bed,3.5bath,"2,719sqft","5,101sqft lot","8891 Eureka Grove Cir, Granite Bay, CA 95746"
"$749,900",3bed,2bath,"1,419sqft","8,136sqft lot","660 Stoneybrae Pl, Escondido, CA 92027"
"$1,295,000",5bed,4bath,"2,000sqft","6,050sqft lot","840 Willow Dr, Brea, CA 92821"
"$595,000",2bed,2.5bath,"1,549sqft","6,200sqft lot","421 E Ralston St, Ontario, CA 91761"
"$560,990",4bed,3bath,"2,239sqft","7,642sqft lot","26566 Baneberry Ct, Menifee, CA 92585"
"$515,000",3bed,2bath,"1,237sqft","5,000sqft lot","2139 Woodglen Pl, Escondido, CA 92026"
"$679,000",1bed,1.5bath,845sqft,436sqft lot,"489 Tahoe Keys Blvd Apt 46, South Lake Tahoe, CA 96150"
"$710,000",3bed,2.5bath,"1,700sqft","4,884sqft lot","1242 Longport Way, Corona, CA 92881"
"$1,390,000",6bed,5bath,"3,200sqft",20acre lot,"6220 Lanes, Twentynine Palms, CA 92277"
"$589,000",2bed,2bath,"1,108sqft","1,771sqft lot","13101 Village 13, Camarillo, CA 93012"
"$574,900",3bed,1bath,960sqft,"3,200sqft lot","2528 20th St, San Pablo, CA 94806"
"$1,488,000",3bed,2bath,"1,610sqft","5,785sqft lot","389 Pacific Ave, Pacifica, CA 94044"
"$418,000",3bed,2.5bath,"1,822sqft","3,250sqft lot","3413 Florence Ave W, Visalia, CA 93277"
"$875,000",2bed,2bath,"1,453sqft",0.9acre lot,"11970 Montana Ave Apt 109, Los Angeles, CA 90049"
"$890,000",3bed,2.5bath,"1,675sqft","5,428sqft lot","2186 Turquoise Cir, Chino Hills, CA 91709"
"$1,185,000",2bed,2bath,"1,208sqft",1.98acre lot,"532-1/2 Via De La Valle Unit C, Solana Beach, CA 92075"
"$668,990",2bed,2.5bath,"1,850sqft",0.24acre lot,"32179 Goldback Way, Temecula, CA 92591"
"$599,000$40k",2bed,1.5bath,"1,272sqft",0.52acre lot,"11708 Deerfield Dr, Truckee, CA 96161"
"$2,990,000",3bed,2.5bath,"3,700sqft",0.75acre lot,"11000 Lansing St, Mendocino, CA 95460"
"$1,695,000",4bed,3.5bath,"4,556sqft",39.43acre lot,"18685 Auberry Rd, Clovis, CA 93619"
"$800,000$225k",2bed,2bath,"1,551sqft","3,310sqft lot","811 Maltman Ave, Los Angeles, CA 90026"
"$949,000",4bed,3.5bath,"2,993sqft",2acre lot,"1830 W Armstrong Rd, Lodi, CA 95242"
"$389,000",5bed,3bath,"2,056sqft","4,408sqft lot","335 Dogwood St, Dinuba, CA 93618"
"$259,000",2bed,1bath,752sqft,0.25acre lot,"1920 Linden Dr, Pine Mountain Club, CA 93225"
"$409,900",3bed,2bath,"1,334sqft","6,970sqft lot","125 Tuttle Ln, Colusa, CA 95932"
"$899,000",3bed,1.5bath,"1,056sqft","4,792sqft lot","10467 Washoe Rd, Truckee, CA 96161"
"$385,000$10k",3bed,2bath,"1,595sqft",5.7acre lot,"14013 Garden Bar Rd, Grass Valley, CA 95949"
"$523,700",3bed,1bath,800sqft,0.29acre lot,"155 Rustic Rd, Pinecrest, CA 95364"
"$339,000",4bed,2bath,"1,616sqft","6,350sqft lot",
"$135,000$4k",3bed,2bath,"1,152sqft",0.63acre lot,"2121 E Avenue I Spc 22, Lancaster, CA 93535"
"$400,000",2bed,1bath,"1,138sqft",3.06acre lot,"8109 Highway 12, Wallace, CA 95252"
"$480,000",3bed,2.5bath,"1,762sqft",6.22acre lot,"12499 S Fruit Ave, Caruthers, CA 93609"
"$1,125,000",3bed,2bath,"2,308sqft","4,792sqft lot","2705 Boulder Dr, June Lake, CA 93529"
"$149,000",1bed,1bath,822sqft,0.23acre lot,"36 Milestone Rd Unit 6, Kyburz, CA 95720"
"$715,000$24k",3bed,1bath,"1,000sqft",5.01acre lot,"783-B Cole Rd, Aromas, CA 95004"
"$155,000",1bed,1bath,790sqft,100sqft lot,"561 El Centro Tract, Mount Laguna, CA 91948"
"$648,000",3bed,3bath,"2,660sqft",10.17acre lot,"6900 Darling Ridge Rd, Garden Valley, CA 95633"
"$850,000$50k",1bed,1bath,"1,400sqft",280acre lot,"11551 Drewry Rd, Piercy, CA 95587"
"$455,000",4bed,2.5bath,"2,400sqft",2.5acre lot,"20 Paseo Verde, Salinas, CA 93908"
"$465,000",3bed,2bath,"1,350sqft",0.67acre lot,"16234 David Way, Grass Valley, CA 95949"
"$995,000$5k",4bed,4bath,"3,653sqft",3.7acre lot,"1333 Ramblewood Rd, Alpine, CA 91901"
